,backbone,case,accuracy,inference_time
0,resnet18,1,0.995053003533569,0.005235797903510962
1,resnet34,1,0.9946996466431095,0.008719473742367177
2,resnet50,1,0.9929328621908127,0.014324107866608695
3,resnet18,2,0.9908127208480565,0.002621133675735988
4,resnet34,2,0.9890459363957598,0.004543671447239565
5,resnet50,2,0.9915194346289753,0.005857277452275994
6,resnet18,3,0.9943462897526502,0.0030856802222434055
7,resnet34,3,0.9943462897526502,0.006120261181606336
8,resnet50,3,0.9939929328621908,0.006177937046865399
9,resnet18,4_1,0.9925795053003533,0.005443342616049091
10,resnet34,4_1,0.9908127208480565,0.00891223382414057
11,resnet50,4_1,0.9908127208480565,0.011798242504677077
12,resnet18,4_2,0.9915194346289753,0.007250483116407073
13,resnet34,4_2,0.9925795053003533,0.008848388543289698
14,resnet50,4_2,0.9823321554770318,0.011234312914730458
