,backbone,case,accuracy,inference_time
0,resnet18,1,0.9860591635498129,0.004747173060541568
1,resnet34,1,0.9901394083645019,0.008261351481727932
2,resnet50,1,0.9823189391363482,0.01088541486988897
3,resnet18,2,0.9782386943216593,0.0024109975151393724
4,resnet34,2,0.9833390003400204,0.00431237790895545
5,resnet50,2,0.9809588575314518,0.005466847316078518
6,resnet18,3,0.9809588575314518,0.0024654502454011335
7,resnet34,3,0.9863991839510371,0.004130407519962477
8,resnet50,3,0.9819789187351241,0.006971509560294773
9,resnet18,4_1,0.9799387963277797,0.004721436811530072
10,resnet34,4_1,0.9829989799387964,0.009773687176082445
11,resnet50,4_1,0.9683781026861612,0.012208565421726393
12,resnet18,4_2,0.9761985719143148,0.004778589891350787
13,resnet34,4_2,0.9697381842910575,0.009813803693522577
14,resnet50,4_2,0.9622577354641279,0.01106854884520821
