train_dataset_size,backbone,case,accuracy
400,resnet18,1,0.81468888133288
400,resnet34,1,0.8167290037402244
400,resnet50,1,0.8806528391703502
400,resnet18,2,0.8201292077524651
400,resnet34,2,0.7786467188031282
400,resnet50,2,0.7912274736484189
400,resnet18,3,0.7327439646378783
400,resnet34,3,0.8031281876912615
400,resnet50,3,0.8395103706222373
400,resnet18,4_1,0.7922475348520911
400,resnet34,4_1,0.7262835770146209
400,resnet50,4_1,0.8170690241414484
400,resnet18,4_2,0.7966678000680041
400,resnet34,4_2,0.7779666780006801
400,resnet50,4_2,0.7844270656239375
800,resnet18,1,0.9404964297857872
800,resnet34,1,0.8973138388303298
800,resnet50,1,0.9177150629037742
800,resnet18,2,0.8228493709622577
800,resnet34,2,0.8673920435226113
800,resnet50,2,0.93573614416865
800,resnet18,3,0.9180550833049984
800,resnet34,3,0.865691941516491
800,resnet50,3,0.8969738184291057
800,resnet18,4_1,0.9126147568854132
800,resnet34,4_1,0.9323359401564094
800,resnet50,4_1,0.9092145528731724
800,resnet18,4_2,0.8959537572254336
800,resnet34,4_2,0.8728323699421965
800,resnet50,4_2,0.8741924515470928
1200,resnet18,1,0.9047942876572594
1200,resnet34,1,0.9207752465147908
1200,resnet50,1,0.9265555933356
1200,resnet18,2,0.9282556953417204
1200,resnet34,2,0.9360761645698742
1200,resnet50,2,0.9275756545392724
1200,resnet18,3,0.8782726963617817
1200,resnet34,3,0.9595375722543352
1200,resnet50,3,0.9272356341380484
1200,resnet18,4_1,0.898333900034002
1200,resnet34,4_1,0.9605576334580076
1200,resnet50,4_1,0.925875552533152
1200,resnet18,4_2,0.8714722883373003
1200,resnet34,4_2,0.8330499829989799
1200,resnet50,4_2,0.8677320639238354
1600,resnet18,1,0.9187351241074464
1600,resnet34,1,0.9598775926555594
1600,resnet50,1,0.939816388983339
1600,resnet18,2,0.8894933696021762
1600,resnet34,2,0.9496769806188372
1600,resnet50,2,0.9367562053723224
1600,resnet18,3,0.93573614416865
1600,resnet34,3,0.9190751445086706
1600,resnet50,3,0.9207752465147908
1600,resnet18,4_1,0.8905134308058483
1600,resnet34,4_1,0.9666780006800408
1600,resnet50,4_1,0.9319959197551854
1600,resnet18,4_2,0.9251955117307038
1600,resnet34,4_2,0.93573614416865
1600,resnet50,4_2,0.8945936756205373
2000,resnet18,1,0.9547772866371982
2000,resnet34,1,0.9581774906494388
2000,resnet50,1,0.9639578374702482
2000,resnet18,2,0.9391363481808908
2000,resnet34,2,0.9659979598775926
2000,resnet50,2,0.949336960217613
2000,resnet18,3,0.9500170010200611
2000,resnet34,3,0.944576674600476
2000,resnet50,3,0.9411764705882352
2000,resnet18,4_1,0.9588575314518872
2000,resnet34,4_1,0.9455967358041484
2000,resnet50,4_1,0.9663379802788168
2000,resnet18,4_2,0.9418565113906836
2000,resnet34,4_2,0.9177150629037742
2000,resnet50,4_2,0.9296157769466168
2400,resnet18,1,0.9517171030261816
2400,resnet34,1,0.9666780006800408
