,backbone,case,accuracy,inference_time
0,resnet18,1,0.6518191091465488,0.004730372325233791
1,resnet34,1,0.8663719823189391,0.008168746595797331
2,resnet50,1,0.6140768446106767,0.01396011269610861
3,resnet18,2,0.9289357361441687,0.002456050852070684
4,resnet34,2,0.8320299217953078,0.004229677760082743
5,resnet50,2,0.38592315538932337,0.005604609199192213
6,resnet18,3,0.6395783747024821,0.0023893143819726033
7,resnet34,3,0.62937776266576,0.004204485727393109
8,resnet50,3,0.6195171710302618,0.0057942763618800954
9,resnet18,4_1,0.9432165929955797,0.004852484101834504
10,resnet34,4_1,0.5916354981298878,0.008172470590342646
11,resnet50,4_1,0.32573954437266234,0.012830907883851425
12,resnet18,4_2,0.8490309418565114,0.004698364630989407
13,resnet34,4_2,0.4542672560353621,0.00824948497440504
14,resnet50,4_2,0.6331179870792247,0.013753810654515806
