learning_rate,backbone,case,accuracy
0.00015,resnet18,1,0.9663379802788168
0.00015,resnet34,1,0.9792587555253316
0.00015,resnet50,1,0.9710982658959536
0.00015,resnet18,2,0.9806188371302278
0.00015,resnet34,2,0.9734784087045224
0.00015,resnet50,2,0.9605576334580076
0.00015,resnet18,3,0.972118327099626
0.00015,resnet34,3,0.9510370622237334
0.00015,resnet50,3,0.9632777966678
0.00015,resnet18,4_1,0.9649778986739204
0.00015,resnet34,4_1,0.9772186331179872
0.00015,resnet50,4_1,0.971438286297178
0.00015,resnet18,4_2,0.9466167970078204
0.00015,resnet34,4_2,0.9697381842910576
0.00015,resnet50,4_2,0.962937776266576
0.0002,resnet18,1,0.9707582454947296
0.0002,resnet34,1,0.9823189391363482
0.0002,resnet50,1,0.9670180210812648
0.0002,resnet18,2,0.9673580414824888
0.0002,resnet34,2,0.9748384903094186
0.0002,resnet50,2,0.9738184291057465
0.0002,resnet18,3,0.9751785107106428
0.0002,resnet34,3,0.9710982658959536
0.0002,resnet50,3,0.9758585515130908
0.0002,resnet18,4_1,0.9680380822849372
0.0002,resnet34,4_1,0.9659979598775926
0.0002,resnet50,4_1,0.9659979598775926
0.0002,resnet18,4_2,0.967698061883713
0.0002,resnet34,4_2,0.9704182250935056
0.0002,resnet50,4_2,0.9649778986739204
0.0003,resnet18,1,0.9615776946616796
0.0003,resnet34,1,0.9680380822849372
0.0003,resnet50,1,0.9670180210812648
0.0003,resnet18,2,0.9748384903094186
0.0003,resnet34,2,0.9687181230873853
0.0003,resnet50,2,0.9670180210812648
0.0003,resnet18,3,0.9884393063583816
0.0003,resnet34,3,0.9612376742604556
0.0003,resnet50,3,0.9792587555253316
0.0003,resnet18,4_1,0.954437266235974
0.0003,resnet34,4_1,0.9853791227473648
0.0003,resnet50,4_1,0.634478068684121
0.0003,resnet18,4_2,0.9680380822849372
0.0003,resnet34,4_2,0.9313158789527372
0.0003,resnet50,4_2,0.8952737164229854
0.0004,resnet18,1,0.9605576334580076
0.0004,resnet34,1,0.9833390003400204
0.0004,resnet50,1,0.9102346140768446
0.0004,resnet18,2,0.9421965317919077
0.0004,resnet34,2,0.943556613396804
0.0004,resnet50,2,0.9034342060523632
0.0004,resnet18,3,0.9615776946616796
0.0004,resnet34,3,0.9421965317919077
0.0004,resnet50,3,0.6375382522951377
0.0004,resnet18,4_1,0.9336960217613056
0.0004,resnet34,4_1,0.9748384903094186
0.0004,resnet50,4_1,0.9666780006800408
0.0004,resnet18,4_2,0.8816729003740225
0.0004,resnet34,4_2,0.9302958177490648
0.0004,resnet50,4_2,0.6320979258755526
0.0005,resnet18,1,0.9047942876572594
0.0005,resnet34,1,0.9207752465147908
0.0005,resnet50,1,0.9326759605576336
0.0005,resnet18,2,0.9595375722543352
0.0005,resnet34,2,0.9588575314518872
0.0005,resnet50,2,0.9010540632437948
0.0005,resnet18,3,0.9649778986739204
0.0005,resnet34,3,0.9785787147228834
0.0005,resnet50,3,0.9425365521931316
0.0005,resnet18,4_1,0.9704182250935056
0.0005,resnet34,4_1,0.9578374702482148
0.0005,resnet50,4_1,0.8619517171030262
0.0005,resnet18,4_2,0.9381162869772186
0.0005,resnet34,4_2,0.884393063583815
0.0005,resnet50,4_2,0.912274736484189
