,backbone,case,accuracy,inference_time
0,resnet18,1,0.996186844613918,0.005822420120239258
1,resnet34,1,0.996186844613918,0.010676186494152955
2,resnet50,1,0.9977756593581188,0.014768704019411646
3,resnet18,2,0.9933269780743565,0.002481559310296569
4,resnet34,2,0.9968223705115984,0.004243263090499724
5,resnet50,2,0.994280266920877,0.0053129412911155005
6,resnet18,3,0.994280266920877,0.002885344052555585
7,resnet34,3,0.996186844613918,0.004151859668770221
8,resnet50,3,0.9971401334604385,0.005479408032966383
9,resnet18,4_1,0.9968223705115984,0.004788102525653261
10,resnet34,4_1,0.9984111852557992,0.008076501615119703
11,resnet50,4_1,0.9977756593581188,0.010910111244278724
12,resnet18,4_2,0.9949157928185574,0.004581711509011008
13,resnet34,4_2,0.9945980298697172,0.008165385988023546
14,resnet50,4_2,0.994280266920877,0.010856185296569208
