,background_mean
0,0.5
1,0.5
2,1
3,0.5
4,1
5,0.5
6,0.5
7,0.5
8,0.5
9,0.5
10,0
11,0.5
12,0.5
13,0.5
14,0.5
15,0.5
16,0.5
17,0.5
18,0.5
19,0.5
20,0.5
21,0.5
22,0.5
23,0.5
24,0.5
25,0.5
26,1
27,0
28,0.5
29,0.5
30,0.5
31,0.5
32,1
33,0
34,0.5
35,0.5
36,0.5
37,0.5
38,0.5
39,0.5
40,0
41,0.5
42,0.5
43,0.5
44,0
45,1
46,1
47,0
48,0
49,0
50,1
51,0.5
52,0
53,0.5
54,1
55,0.5
56,1
57,0.5
58,1
59,0
60,0.5
61,1
62,0.5
63,1
64,1
65,0.5
66,0
67,0.5
68,0.5
69,0
70,0.5
71,1
72,1
73,0.5
74,0.5
75,0.5
76,0.5
77,0.5
78,1
79,1
80,0.5
81,0
82,0.5
83,0.5
84,0
85,0.5
86,0
87,0.5
88,0.5
89,0.5
90,1
91,0.5
92,0
93,0.5
94,0
95,1
96,1
97,0
98,0.5
99,0
100,0
101,0.5
102,0.5
103,0
104,0.5
105,1
106,0.5
107,0.5
108,1
109,0.5
110,0.5
111,0.5
112,0.5
113,0.5
114,1
115,0.5
116,0.5
117,0.5
118,0.5
119,0.5
120,1
121,0.5
122,1
123,0.5
124,0.5
125,0
126,0.5
127,0.5
128,0.5
129,1
130,0.5
131,0.5
132,0.5
133,0.5
134,0.5
135,0
136,0.5
137,0
138,1
139,1
140,0.5
141,0.5
142,0.5
143,0.5
144,0.5
145,0.5
146,0.5
147,0.5
148,0
149,1
150,0.5
151,1
152,0
153,1
154,0.5
155,0.5
156,0.5
157,0.5
158,0.5
159,0.5
160,0
161,0.5
162,0.5
163,0.5
164,0
165,1
166,1
167,0.5
168,1
169,1
170,0.5
171,0.5
172,0
173,0.5
174,0.5
175,0.5
176,0
177,1
178,0.5
179,0.5
180,0.5
181,0
182,0.5
183,0.5
184,0.5
185,0.5
186,0.5
187,0.5
188,1
189,1
190,0.5
191,0
192,0.5
193,0.5
194,1
195,0.5
196,1
197,0.5
198,0.5
199,0.5
200,1
201,0.5
202,0
203,0
204,0
205,0.5
206,0.5
207,0
208,1
209,0.5
210,0.5
211,0
212,0.5
213,0
214,0
215,1
216,0.5
217,0.5
218,0
219,1
220,1
221,1
222,0.5
223,0.5
224,0.5
225,0.5
226,1
227,0.5
228,0.5
229,1
230,0.5
231,0.5
232,0.5
233,0.5
234,0.5
235,0.5
236,0.5
237,1
238,0.5
239,0.5
240,1
241,0.5
242,0.5
243,0.5
244,0
245,0.5
246,1
247,0.5
248,0.5
249,1
250,0.5
251,0.5
252,0.5
253,0.5
254,0.5
255,0.5
256,0.5
257,0
258,0.5
259,0.5
260,1
261,0.5
262,0.5
263,0.5
264,0.5
265,0.5
266,1
267,0.5
268,0.5
269,0
270,0.5
271,0.5
272,0.5
273,0.5
274,0.5
275,0
276,1
277,0.5
278,0.5
279,0.5
280,0
281,0.5
282,1
283,0
284,0.5
285,0
286,0
287,0
288,0.5
289,0.5
290,0.5
291,0.5
292,0
293,0
294,1
295,0.5
296,0.5
297,0
298,0.5
299,0.5
300,0.5
301,1
302,0.5
303,0
304,0
305,1
306,1
307,0
308,0.5
309,0.5
310,0.5
311,0.5
312,1
313,0
314,0
315,0.5
316,1
317,0.5
318,0.5
319,0.5
320,0.5
321,1
322,0.5
323,0.5
324,0
325,0.5
326,1
327,0.5
328,0.5
329,0.5
330,0.5
331,0.5
332,0.5
333,0.5
334,0.5
335,1
336,0.5
337,1
338,0.5
339,0
340,0.5
341,0.5
342,0.5
343,0.5
344,0.5
345,0.5
346,0.5
347,0.5
348,0.5
349,0.5
350,0.5
351,0.5
352,0
353,0.5
354,0.5
355,0.5
356,0.5
357,0.5
358,1
359,0
360,0.5
361,0.5
362,0.5
363,0.5
364,0.5
365,0.5
366,0.5
367,0.5
368,1
369,0.5
370,0.5
371,0
372,0.5
373,0.5
374,0.5
375,0.5
376,0.5
377,0
378,0.5
379,0.5
380,0
381,0.5
382,0
383,0.5
384,1
385,0.5
386,1
387,0.5
388,0.5
389,0.5
390,0.5
391,0.5
392,0.5
393,0
394,0.5
395,0.5
396,0.5
397,0.5
398,1
399,0.5
400,0.5
401,0.5
402,0.5
403,0.5
404,1
405,0.5
406,0.5
407,0
408,0.5
409,1
410,0.5
411,0.5
412,1
413,0
414,0.5
415,0.5
416,1
417,0
418,0.5
419,0.5
420,0.5
421,0.5
422,1
423,0.5
424,0.5
425,1
426,1
427,0.5
428,0.5
429,0.5
430,0.5
431,0.5
432,0
433,0.5
434,0.5
435,0
436,0
437,0.5
438,0.5
439,0.5
440,0.5
441,1
442,0.5
443,0.5
444,0.5
445,0.5
446,0.5
447,0.5
448,0.5
449,0.5
450,0
451,0.5
452,0.5
453,0.5
454,0.5
455,1
456,1
457,1
458,0.5
459,1
460,0
461,0.5
462,1
463,1
464,0.5
465,0.5
466,0
467,0.5
468,1
469,0.5
470,0.5
471,1
472,0.5
473,0.5
474,0.5
475,0.5
476,0.5
477,1
478,0.5
479,0.5
480,1
481,0.5
482,0.5
483,0.5
484,1
485,0
486,0.5
487,0.5
488,0.5
489,0.5
490,0.5
491,0
492,0.5
493,0.5
494,1
495,0
496,1
497,0.5
498,0
499,0.5
500,0.5
501,0.5
502,0.5
503,1
504,0
505,0.5
506,1
507,0.5
508,0.5
509,0.5
510,0.5
511,0.5
512,0.5
513,0.5
514,0.5
515,0.5
516,0.5
517,0.5
518,1
519,0.5
520,0
521,0.5
522,0.5
523,0.5
524,1
525,0.5
526,0.5
527,0.5
528,1
529,0.5
530,1
531,0.5
532,0
533,0.5
534,0.5
535,0.5
536,1
537,0.5
538,0.5
539,0.5
540,0.5
541,0
542,0.5
543,0.5
544,0.5
545,0.5
546,0.5
547,0.5
548,0.5
549,1
550,0.5
551,0.5
552,0.5
553,0.5
554,0.5
555,0.5
556,0.5
557,0.5
558,0
559,0
560,1
561,0.5
562,0.5
563,1
564,0
565,0.5
566,0.5
567,0.5
568,0.5
569,0.5
570,0.5
571,0.5
572,0.5
573,1
574,0.5
575,0.5
576,0.5
577,0.5
578,1
579,0.5
580,0.5
581,1
582,0.5
583,0.5
584,0.5
585,0
586,0.5
587,1
588,1
589,0.5
590,1
591,0.5
592,0
593,0.5
594,0
595,0
596,0.5
597,0.5
598,0.5
599,0.5
600,0.5
601,1
602,0.5
603,1
604,0
605,0.5
606,1
607,0.5
608,0.5
609,0
610,0.5
611,0
612,0.5
613,0.5
614,0
615,0
616,1
617,0
618,0.5
619,0
620,0.5
621,0
622,1
623,1
624,0
625,0.5
626,0.5
627,0
628,0.5
629,0.5
630,0
631,1
632,0
633,1
634,0.5
635,0
636,0.5
637,0.5
638,1
639,0
640,0.5
641,0.5
642,0.5
643,0.5
644,0.5
645,0.5
646,0.5
647,0
648,1
649,0.5
650,0.5
651,1
652,0.5
653,0.5
654,1
655,0
656,0
657,0
658,0.5
659,1
660,0.5
661,0.5
662,0.5
663,0.5
664,1
665,0
666,0
667,0.5
668,0.5
669,0.5
670,1
671,0.5
672,0
673,0.5
674,1
675,1
676,0.5
677,1
678,0
679,0.5
680,0.5
681,0.5
682,1
683,0
684,0
685,0.5
686,0.5
687,0.5
688,0.5
689,0.5
690,0.5
691,1
692,0.5
693,0.5
694,0.5
695,0.5
696,0.5
697,0.5
698,0.5
699,0.5
700,0.5
701,0
702,1
703,1
704,0.5
705,1
706,0.5
707,0.5
708,0.5
709,0.5
710,0
711,0.5
712,1
713,0
714,1
715,0.5
716,0
717,0.5
718,0
719,0.5
720,0.5
721,1
722,1
723,0.5
724,1
725,0
726,0.5
727,0.5
728,0.5
729,0
730,0.5
731,0.5
732,0
733,0.5
734,0
735,1
736,0.5
737,0
738,0.5
739,0.5
740,0
741,0
742,1
743,1
744,0.5
745,0.5
746,0.5
747,0.5
748,1
749,0.5
750,0.5
751,0.5
752,0.5
753,0.5
754,1
755,0.5
756,0.5
757,0
758,0
759,0
760,0
761,0.5
762,1
763,1
764,0.5
765,0
766,0.5
767,0.5
768,1
769,0
770,0.5
771,1
772,0.5
773,0.5
774,1
775,0.5
776,1
777,0.5
778,0.5
779,0.5
780,1
781,0.5
782,1
783,0.5
784,0.5
785,0.5
786,0.5
787,0.5
788,0
789,0
790,0.5
791,1
792,0.5
793,0.5
794,1
795,0.5
796,0.5
797,0
798,0
799,0
800,0.5
801,0.5
802,0.5
803,0.5
804,0.5
805,0.5
806,1
807,0.5
808,1
809,0.5
810,1
811,0
812,0.5
813,0.5
814,0.5
815,0.5
816,1
817,1
818,0
819,1
820,0.5
821,0.5
822,0.5
823,0.5
824,0
825,0.5
826,0.5
827,0.5
828,0
829,1
830,0.5
831,0
832,0
833,0.5
834,0
835,0.5
836,0.5
837,0
838,0.5
839,1
840,0.5
841,0
842,0.5
843,0.5
844,0.5
845,1
846,0.5
847,0.5
848,0.5
849,0.5
850,0
851,1
852,0.5
853,0.5
854,1
855,1
856,1
857,0.5
858,1
859,1
860,0.5
861,0
862,0.5
863,0.5
864,0.5
865,0.5
866,0
867,0.5
868,0.5
869,0.5
870,0
871,0.5
872,0.5
873,0.5
874,0.5
875,0
876,0.5
877,0.5
878,0.5
879,0.5
880,0.5
881,1
882,0.5
883,1
884,0.5
885,0
886,0
887,0
888,0.5
889,0
890,0.5
891,1
892,0.5
893,0.5
894,0
895,0.5
896,0
897,0
898,0
899,1
900,0.5
901,0.5
902,0
903,0.5
904,0.5
905,1
906,0
907,0.5
908,0.5
909,0.5
910,0
911,0
912,0.5
913,1
914,1
915,0.5
916,0.5
917,0.5
918,0.5
919,0.5
920,0
921,0.5
922,0.5
923,0.5
924,0.5
925,0.5
926,0.5
927,0.5
928,0
929,0.5
930,0.5
931,0.5
932,1
933,0
934,1
935,0.5
936,0.5
937,1
938,0
939,1
940,0.5
941,0.5
942,1
943,0.5
944,0.5
945,0
946,1
947,0.5
948,0
949,0.5
950,0
951,0
952,0.5
953,0
954,0
955,0
956,1
957,0
958,0.5
959,0.5
960,0.5
961,0
962,0.5
963,1
964,0
965,0.5
966,0.5
967,0.5
968,1
969,0.5
970,0.5
971,0.5
972,0.5
973,1
974,1
975,1
976,0
977,0
978,0.5
979,0.5
980,1
981,1
982,0.5
983,0
984,0
985,0.5
986,1
987,0.5
988,0.5
989,1
990,0.5
991,0.5
992,0.5
993,0.5
994,0
995,0.5
996,0.5
997,0
998,0
999,0.5
