,background_mean
0,1
1,0.5
2,1
3,0
4,0
5,0.5
6,0.5
7,1
8,0
9,1
10,0.5
11,0.5
12,0.5
13,0
14,1
15,0
16,0.5
17,0.5
18,0.5
19,0.5
20,0.5
21,1
22,0.5
23,0.5
24,1
25,0.5
26,0.5
27,0
28,0
29,0
30,0.5
31,1
32,0.5
33,1
34,1
35,0.5
36,0.5
37,1
38,0.5
39,0.5
40,1
41,0
42,0.5
43,1
44,0.5
45,0.5
46,0
47,0.5
48,0.5
49,0.5
50,0
51,0.5
52,1
53,0
54,1
55,0.5
56,0
57,0.5
58,1
59,0.5
60,0.5
61,0.5
62,1
63,0
64,1
65,1
66,0.5
67,0.5
68,1
69,1
70,0.5
71,0
72,0
73,0.5
74,0.5
75,0.5
76,0
77,0.5
78,0
79,0.5
80,1
81,0.5
82,0.5
83,0
84,0.5
85,0.5
86,0.5
87,0.5
88,0
89,0.5
90,0.5
91,0.5
92,0
93,0
94,0
95,1
96,0
97,0.5
98,0.5
99,0.5
100,0
101,0
102,1
103,0.5
104,0.5
105,1
106,0.5
107,0.5
108,0.5
109,1
110,0.5
111,0
112,1
113,0.5
114,0.5
115,0.5
116,0.5
117,0.5
118,0.5
119,0.5
120,0.5
121,0
122,0.5
123,1
124,1
125,0.5
126,1
127,0.5
128,0.5
129,0.5
130,0.5
131,0.5
132,0.5
133,1
134,0.5
135,0.5
136,1
137,0.5
138,0.5
139,0.5
140,0
141,0.5
142,1
143,0
144,0.5
145,0.5
146,0.5
147,0.5
148,0.5
149,0.5
150,1
151,0.5
152,0.5
153,0
154,0.5
155,0.5
156,0.5
157,0.5
158,0.5
159,0.5
160,1
161,0.5
162,0.5
163,0
164,0.5
165,1
166,0.5
167,0
168,0.5
169,0.5
170,0.5
171,0.5
172,0
173,0.5
174,0.5
175,0
176,0
177,0.5
178,0.5
179,0.5
180,0.5
181,0.5
182,0
183,0
184,0.5
185,0
186,1
187,0
188,0.5
189,0.5
190,1
191,1
192,0.5
193,0.5
194,0.5
195,0
196,0.5
197,0.5
198,0
199,0.5
200,0.5
201,0.5
202,0.5
203,1
204,0
205,0.5
206,0
207,0.5
208,0.5
209,0.5
210,1
211,0.5
212,0.5
213,0.5
214,0.5
215,0.5
216,0
217,0.5
218,0.5
219,0.5
220,0
221,1
222,0
223,0.5
224,0.5
225,0.5
226,0.5
227,0.5
228,0.5
229,0.5
230,0.5
231,0
232,0.5
233,0.5
234,1
235,0.5
236,0
237,0.5
238,0.5
239,0
240,0.5
241,0.5
242,0.5
243,0.5
244,0.5
245,0.5
246,1
247,0.5
248,1
249,1
250,0.5
251,0.5
252,0.5
253,0.5
254,0.5
255,0
256,1
257,0.5
258,0
259,1
260,0.5
261,0
262,0.5
263,0.5
264,0.5
265,0
266,0.5
267,0.5
268,0
269,0
270,0
271,0.5
272,0.5
273,1
274,1
275,0.5
276,0.5
277,0
278,0
279,0.5
280,0.5
281,0.5
282,0.5
283,1
284,0
285,1
286,1
287,0.5
288,0
289,1
290,0
291,0.5
292,0.5
293,0.5
294,0.5
295,0
296,1
297,0.5
298,1
299,0.5
300,0.5
301,0
302,0.5
303,0.5
304,0.5
305,0.5
306,0
307,0.5
308,0.5
309,0.5
310,0.5
311,0.5
312,0.5
313,0
314,0.5
315,0
316,1
317,0.5
318,0.5
319,1
320,1
321,0.5
322,0.5
323,0.5
324,0
325,0.5
326,0.5
327,0.5
328,0.5
329,1
330,0.5
331,0.5
332,0.5
333,0.5
334,0.5
335,0.5
336,0.5
337,0.5
338,0.5
339,0.5
340,0.5
341,0.5
342,0.5
343,1
344,0.5
345,0
346,1
347,1
348,0.5
349,0
350,0
351,1
352,0
353,0.5
354,1
355,0.5
356,0.5
357,0.5
358,0.5
359,0.5
360,0
361,0.5
362,1
363,0.5
364,0.5
365,0.5
366,0.5
367,0
368,0.5
369,0.5
370,1
371,1
372,0.5
373,0.5
374,0.5
375,1
376,0.5
377,0.5
378,0
379,0
380,1
381,0
382,1
383,1
384,0.5
385,1
386,1
387,0
388,0.5
389,0.5
390,0.5
391,0.5
392,0.5
393,0
394,0.5
395,0.5
396,0.5
397,0.5
398,0.5
399,0.5
400,0
401,0.5
402,0.5
403,0.5
404,0.5
405,0
406,1
407,0
408,0.5
409,0.5
410,1
411,0.5
412,0.5
413,1
414,0.5
415,0.5
416,0.5
417,0.5
418,1
419,0.5
420,0.5
421,1
422,1
423,0.5
424,0.5
425,0.5
426,0.5
427,1
428,1
429,0.5
430,0.5
431,0.5
432,0.5
433,0.5
434,1
435,0.5
436,0
437,1
438,0.5
439,0.5
440,1
441,0.5
442,1
443,0
444,0.5
445,0.5
446,0.5
447,0.5
448,0.5
449,0.5
450,0
451,0.5
452,0
453,0.5
454,1
455,0.5
456,0.5
457,0.5
458,0.5
459,0.5
460,0.5
461,1
462,0.5
463,0
464,0.5
465,0
466,0.5
467,0.5
468,0
469,0.5
470,0.5
471,0.5
472,0.5
473,0.5
474,1
475,0.5
476,0
477,0.5
478,0
479,0
480,1
481,0
482,0
483,1
484,1
485,0.5
486,0.5
487,0.5
488,0.5
489,0.5
490,1
491,0
492,1
493,0.5
494,0.5
495,0.5
496,0
497,0.5
498,0.5
499,0.5
500,0.5
501,0.5
502,0
503,0.5
504,1
505,0.5
506,0.5
507,1
508,0
509,1
510,0.5
511,1
512,0.5
513,0.5
514,0.5
515,1
516,0.5
517,0.5
518,0.5
519,1
520,0.5
521,0.5
522,0.5
523,0.5
524,0.5
525,1
526,0.5
527,0.5
528,0.5
529,0.5
530,0.5
531,0.5
532,0.5
533,0.5
534,0.5
535,1
536,0.5
537,1
538,1
539,1
540,1
541,0.5
542,1
543,0.5
544,0.5
545,0.5
546,0.5
547,0.5
548,1
549,0.5
550,0.5
551,0.5
552,0
553,0.5
554,0.5
555,0.5
556,0.5
557,0.5
558,1
559,0.5
560,0
561,0.5
562,0.5
563,1
564,0.5
565,0.5
566,0
567,0.5
568,0
569,0
570,0.5
571,0.5
572,1
573,0.5
574,0.5
575,0.5
576,0
577,1
578,1
579,0.5
580,0.5
581,0.5
582,0.5
583,0.5
584,0.5
585,0.5
586,0.5
587,0.5
588,0.5
589,0.5
590,0.5
591,1
592,0
593,0.5
594,0.5
595,1
596,0.5
597,0.5
598,0
599,0
600,0.5
601,1
602,0.5
603,0.5
604,0.5
605,0.5
606,0
607,0.5
608,0
609,0.5
610,0.5
611,0.5
612,0.5
613,0.5
614,0
615,1
616,1
617,0.5
618,1
619,0.5
620,0.5
621,0.5
622,0.5
623,1
624,0.5
625,0.5
626,0.5
627,0.5
628,0.5
629,0.5
630,0.5
631,0.5
632,0.5
633,0
634,0.5
635,0.5
636,0.5
637,1
638,1
639,0.5
640,0.5
641,0
642,1
643,0.5
644,0
645,0.5
646,0.5
647,0.5
648,0.5
649,0.5
650,0
651,1
652,0.5
653,0.5
654,0.5
655,0.5
656,0
657,1
658,0.5
659,0.5
660,0.5
661,1
662,1
663,0.5
664,0.5
665,0.5
666,0
667,0.5
668,0.5
669,0.5
670,1
671,1
672,1
673,0
674,0.5
675,0
676,0.5
677,0
678,0.5
679,0
680,0.5
681,0.5
682,0.5
683,0
684,0
685,1
686,0.5
687,0.5
688,0.5
689,1
690,0.5
691,0.5
692,0.5
693,1
694,0.5
695,0.5
696,1
697,0.5
698,0.5
699,0.5
700,0
701,0.5
702,0.5
703,0.5
704,0
705,0.5
706,0.5
707,0
708,0.5
709,0.5
710,0.5
711,0
712,1
713,1
714,0.5
715,0.5
716,1
717,0
718,0.5
719,0
720,0.5
721,0.5
722,0.5
723,0.5
724,0.5
725,0.5
726,0
727,0.5
728,0.5
729,0.5
730,0.5
731,0.5
732,0.5
733,0
734,0
735,0
736,0.5
737,1
738,0.5
739,0.5
740,0.5
741,0
742,1
743,0.5
744,0
745,0.5
746,0
747,0
748,0.5
749,0.5
750,0.5
751,0.5
752,0.5
753,0
754,0.5
755,0.5
756,1
757,0
758,0.5
759,0
760,0
761,0.5
762,1
763,0.5
764,0.5
765,1
766,0
767,1
768,0
769,0.5
770,0.5
771,0
772,0.5
773,1
774,0.5
775,1
776,0.5
777,1
778,0.5
779,1
780,0
781,0
782,0
783,0.5
784,0.5
785,0.5
786,0.5
787,0.5
788,0.5
789,0.5
790,0.5
791,1
792,0.5
793,1
794,0.5
795,1
796,0.5
797,0.5
798,0.5
799,0
800,0.5
801,0.5
802,1
803,0.5
804,0.5
805,0.5
806,0.5
807,0.5
808,1
809,0.5
