,background_std
0,1
1,0.5
2,0
3,1
4,1
5,0.5
6,1
7,0.5
8,0.5
9,1
10,0
11,1
12,1
13,0
14,0.5
15,1
16,0.5
17,0
18,1
19,1
20,0.5
21,1
22,1
23,1
24,1
25,1
26,0
27,1
28,0.5
29,0
30,0
31,0
32,0.5
33,0.5
34,0.5
35,1
36,0.5
37,1
38,0.5
39,1
40,0.5
41,1
42,0.5
43,0.5
44,0.5
45,1
46,0
47,0.5
48,0.5
49,0.5
50,0
51,0.5
52,0.5
53,1
54,0.5
55,1
56,0.5
57,1
58,0.5
59,0.5
60,1
61,0
62,1
63,0.5
64,0.5
65,1
66,0.5
67,1
68,1
69,0
70,0.5
71,0.5
72,0.5
73,1
74,1
75,0
76,0
77,1
78,0
79,1
80,1
81,1
82,0.5
83,0
84,1
85,1
86,1
87,1
88,0.5
89,1
90,0.5
91,1
92,1
93,1
94,0
95,0
96,1
97,0
98,0.5
99,0.5
100,0.5
101,0.5
102,1
103,1
104,0.5
105,0.5
106,1
107,1
108,0
109,1
110,0
111,0.5
112,1
113,1
114,0.5
115,1
116,1
117,1
118,1
119,0.5
120,0
121,1
122,1
123,0
124,1
125,0.5
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,0.5
134,1
135,0.5
136,1
137,0.5
138,1
139,0
140,1
141,0.5
142,0.5
143,1
144,1
145,1
146,1
147,1
148,1
149,0
150,1
151,0
152,0.5
153,1
154,1
155,0.5
156,1
157,1
158,1
159,1
160,0.5
161,0
162,1
163,0.5
164,0.5
165,0
166,1
167,0.5
168,1
169,1
170,1
171,1
172,0
173,1
174,0.5
175,1
176,0
177,0
178,1
179,1
180,1
181,1
182,1
183,0
184,0.5
185,1
186,1
187,1
188,0.5
189,0.5
190,1
191,0
192,1
193,0.5
194,0.5
195,0.5
196,0
197,1
198,1
199,1
200,0.5
201,1
202,0.5
203,0.5
204,1
205,0.5
206,1
207,1
208,0.5
209,1
210,1
211,0
212,1
213,1
214,1
215,1
216,1
217,1
218,0
219,0
220,0.5
221,0
222,1
223,1
224,1
225,1
226,0.5
227,1
228,1
229,0
230,1
231,1
232,0
233,0.5
234,1
235,0.5
236,0.5
237,0
238,0.5
239,1
240,0
241,1
242,1
243,0.5
244,0.5
245,0.5
246,0.5
247,1
248,0.5
249,0.5
250,1
251,0.5
252,1
253,0.5
254,1
255,0.5
256,1
257,0.5
258,1
259,1
260,0.5
261,1
262,0.5
263,1
264,1
265,1
266,0.5
267,0.5
268,1
269,0.5
270,1
271,1
272,1
273,1
274,1
275,0
276,0
277,1
278,1
279,1
280,1
281,1
282,0.5
283,0
284,0.5
285,0.5
286,0.5
287,1
288,0.5
289,0.5
290,0.5
291,1
292,1
293,0
294,0
295,0.5
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,0.5
304,1
305,0
306,1
307,0
308,1
309,0.5
310,1
311,1
312,0
313,0.5
314,1
315,1
316,0
317,1
318,0.5
319,1
320,0.5
321,0
322,0.5
323,0.5
324,0.5
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,0.5
336,0.5
337,0.5
338,1
339,1
340,0.5
341,0.5
342,1
343,1
344,0.5
345,1
346,1
347,1
348,1
349,0.5
350,0.5
351,0.5
352,0
353,0.5
354,1
355,1
356,0.5
357,1
358,0
359,0.5
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,0
369,1
370,1
371,1
372,1
373,1
374,0.5
375,1
376,1
377,0.5
378,1
379,1
380,1
381,0
382,0.5
383,1
384,0
385,0.5
386,0.5
387,1
388,1
389,1
390,0.5
391,1
392,1
393,1
394,1
395,1
396,0.5
397,1
398,0.5
399,0.5
400,1
401,0.5
402,0.5
403,1
404,0
405,1
406,0
407,1
408,1
409,1
410,0
411,1
412,0
413,0.5
414,0.5
415,0.5
416,0.5
417,0.5
418,1
419,0
420,1
421,0
422,1
423,1
424,1
425,0
426,1
427,0.5
428,1
429,0.5
430,0.5
431,1
432,0.5
433,1
434,0.5
435,0
436,1
437,0.5
438,0.5
439,0.5
440,0.5
441,0
442,1
443,0.5
444,1
445,1
446,1
447,0.5
448,1
449,1
450,1
451,1
452,1
453,1
454,0.5
455,0
456,0
457,0.5
458,0.5
459,0
460,0
461,1
462,0
463,0.5
464,1
465,1
466,0
467,0.5
468,1
469,1
470,1
471,0.5
472,1
473,1
474,1
475,0
476,0.5
477,0.5
478,1
479,1
480,0
481,0.5
482,1
483,0.5
484,0.5
485,1
486,1
487,1
488,1
489,0.5
490,0
491,0
492,1
493,0.5
494,0.5
495,0.5
496,0
497,0
498,0.5
499,0.5
500,1
501,0.5
502,0
503,0.5
504,0.5
505,1
506,0.5
507,0
508,1
509,0.5
510,0.5
511,1
512,1
513,1
514,1
515,1
516,0.5
517,1
518,0
519,0.5
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,0
529,0.5
530,0
531,1
532,0
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,0.5
541,1
542,1
543,1
544,0.5
545,1
546,0
547,1
548,1
549,0
550,0
551,1
552,0.5
553,1
554,0.5
555,1
556,1
557,1
558,0.5
559,0.5
560,0
561,1
562,0.5
563,0.5
564,0.5
565,0.5
566,0.5
567,0.5
568,1
569,1
570,0
571,1
572,1
573,0
574,1
575,0
576,1
577,1
578,0.5
579,0.5
580,1
581,0
582,1
583,0
584,1
585,0.5
586,0.5
587,0.5
588,0.5
589,1
590,1
591,1
592,0.5
593,1
594,0
595,1
596,1
597,0.5
598,1
599,1
600,1
601,0.5
602,1
603,0
604,0.5
605,1
606,0
607,0.5
608,0.5
609,0
610,1
611,0
612,1
613,1
614,0.5
615,1
616,0.5
617,0
618,0.5
619,0.5
620,1
621,0
622,0
623,0.5
624,0.5
625,1
626,1
627,0
628,1
629,1
630,0.5
631,0
632,1
633,0.5
634,0.5
635,1
636,1
637,1
638,0.5
639,0.5
640,1
641,1
642,0.5
643,0.5
644,1
645,1
646,1
647,1
648,0
649,1
650,1
651,0.5
652,0.5
653,1
654,0
655,1
656,1
657,0
658,1
659,0.5
660,0
661,1
662,1
663,0.5
664,1
665,0.5
666,0.5
667,1
668,0
669,0.5
670,0
671,0.5
672,0.5
673,1
674,0
675,0.5
676,1
677,1
678,0
679,1
680,1
681,1
682,0.5
683,1
684,1
685,1
686,1
687,1
688,0.5
689,1
690,0
691,0
692,1
693,0.5
694,0.5
695,1
696,0
697,1
698,1
699,1
700,0
701,0
702,0.5
703,0.5
704,1
705,0.5
706,1
707,1
708,0.5
709,1
710,1
711,1
712,0
713,0.5
714,0
715,1
716,0.5
717,1
718,1
719,0.5
720,0.5
721,0
722,0.5
723,1
724,0
725,1
726,1
727,1
728,0.5
729,0.5
730,0.5
731,0.5
732,0
733,0
734,0.5
735,0
736,1
737,0.5
738,0
739,1
740,0
741,0.5
742,1
743,0.5
744,0
745,1
746,0.5
747,1
748,0
749,1
750,1
751,0.5
752,1
753,1
754,0
755,1
756,1
757,0.5
758,0
759,1
760,0.5
761,1
762,0.5
763,0
764,1
765,0.5
766,1
767,1
768,1
769,1
770,1
771,0.5
772,0.5
773,0.5
774,0
775,0.5
776,0.5
777,0.5
778,0.5
779,1
780,0
781,0.5
782,0.5
783,0.5
784,0.5
785,1
786,1
787,0.5
788,1
789,1
790,0
791,0
792,1
793,1
794,0.5
795,1
796,1
797,0.5
798,0
799,1
800,1
801,1
802,1
803,0.5
804,1
805,1
806,0.5
807,0.5
808,0
809,0.5
810,0
811,0.5
812,0.5
813,1
814,0
815,0
816,0
817,1
818,0
819,0
820,1
821,1
822,1
823,1
824,0.5
825,1
826,0.5
827,0.5
828,0.5
829,0
830,1
831,0.5
832,0
833,1
834,1
835,1
836,1
837,0.5
838,1
839,0.5
840,1
841,0
842,0.5
843,1
844,1
845,0
846,1
847,0.5
848,0
849,1
850,0.5
851,0.5
852,1
853,1
854,0
855,0.5
856,1
857,0
858,0.5
859,0
860,1
861,0.5
862,0.5
863,1
864,0.5
865,1
866,0.5
867,1
868,1
869,0.5
870,0.5
871,1
872,1
873,0.5
874,1
875,0.5
876,1
877,0
878,1
879,1
880,1
881,0
882,1
883,0.5
884,0.5
885,1
886,1
887,1
888,1
889,1
890,1
891,0
892,1
893,1
894,1
895,1
896,0.5
897,0.5
898,0.5
899,0
900,1
901,1
902,0.5
903,1
904,0.5
905,0
906,1
907,0.5
908,1
909,0.5
910,1
911,0
912,0.5
913,0.5
914,0.5
915,0.5
916,1
