,background_std
0,0.5
1,1
2,0
3,0.5
4,0
5,0
6,0.5
7,0.5
8,1
9,0
10,0
11,1
12,1
13,0.5
14,0.5
15,0
16,1
17,1
18,0
19,1
20,1
21,0
22,0.5
23,1
24,0
25,0.5
26,0.5
27,0
28,0
29,0.5
30,0.5
31,0
32,1
33,0.5
34,1
35,0.5
36,1
37,0
38,0.5
39,0.5
40,0.5
41,0
42,0.5
43,1
44,1
45,1
46,1
47,0
48,1
49,1
50,1
51,0.5
52,0.5
53,0
54,0.5
55,1
56,0
57,0
58,0.5
59,1
60,0.5
61,1
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,0.5
71,0.5
72,0
73,1
74,1
75,0
76,0.5
77,1
78,0
79,0.5
80,1
81,1
82,0.5
83,0
84,0.5
85,1
86,0.5
87,1
88,0.5
89,1
90,0.5
91,0.5
92,0.5
93,0
94,0
95,0.5
96,1
97,0.5
98,0.5
99,1
100,0.5
101,0
102,0
103,1
104,1
105,0
106,1
107,1
108,0
109,0
110,1
111,1
112,0
113,1
114,1
115,1
116,1
117,0.5
118,1
119,0.5
120,1
121,0.5
122,1
123,0.5
124,0
125,1
126,0.5
127,1
128,1
129,0
130,1
131,0.5
132,1
133,0.5
134,1
135,0
136,0
137,1
138,0.5
139,0
140,0
141,1
142,0.5
143,0
144,0.5
145,1
146,1
147,1
148,0
149,1
150,0.5
151,0.5
152,1
153,1
154,0.5
155,1
156,0
157,1
158,1
159,1
160,0.5
161,0.5
162,1
163,0
164,1
165,0
166,0
167,0
168,1
169,0.5
170,0
171,1
172,0.5
173,1
174,1
175,0.5
176,0
177,1
178,1
179,0.5
180,1
181,1
182,0.5
183,0
184,0.5
185,0
186,0
187,0.5
188,1
189,1
190,0.5
191,0.5
192,0.5
193,1
194,0.5
195,0
196,1
197,1
198,1
199,1
200,1
201,1
202,0.5
203,0.5
204,0.5
205,1
206,0.5
207,0
208,1
209,0
210,1
211,1
212,1
213,0
214,1
215,0.5
216,1
217,0.5
218,0.5
219,0
220,0
221,1
222,1
223,0
224,1
225,1
226,1
227,1
228,0.5
229,1
230,1
231,0.5
232,1
233,1
234,0.5
235,0
236,0
237,0.5
238,1
239,0.5
240,0.5
241,0.5
242,1
243,0.5
244,1
245,1
246,0.5
247,1
248,1
249,1
250,1
251,0.5
252,1
253,0
254,1
255,0
256,1
257,1
258,1
259,0.5
260,0
261,0.5
262,0
263,0
264,1
265,0
266,0
267,1
268,0.5
269,0
270,1
271,1
272,0.5
273,0
274,0
275,0
276,0.5
277,0
278,0.5
279,1
280,1
281,0
282,1
283,1
284,0.5
285,0
286,1
287,0
288,0
289,0
290,1
291,0
292,0
293,1
294,1
295,0
296,0.5
297,1
298,1
299,1
300,0.5
301,0
302,0.5
303,0
304,1
305,0.5
306,0.5
307,1
308,1
309,1
310,1
311,1
312,1
313,0
314,1
315,1
316,0
317,1
318,1
319,0.5
320,0
321,0.5
322,1
323,1
324,0.5
325,0.5
326,0.5
327,0.5
328,0
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,0
337,1
338,0
339,1
340,1
341,1
342,1
343,0
344,0.5
345,0.5
346,1
347,1
348,1
349,1
350,0.5
351,0.5
352,1
353,1
354,0.5
355,1
356,1
357,0.5
358,1
359,0.5
360,0.5
361,1
362,0
363,0
364,1
365,1
366,1
367,1
368,1
369,1
370,0.5
371,0.5
372,0
373,0
374,0
375,0.5
376,1
377,1
378,0
379,1
380,1
381,0
382,0
383,1
384,1
385,0
386,0
387,0.5
388,1
389,0.5
390,1
391,1
392,1
393,0.5
394,1
395,1
396,1
397,0.5
398,0.5
399,0
400,1
401,1
402,1
403,1
