,hair_color
0,0.5
1,0.5
2,1
3,1
4,1
5,0.5
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,0.5
17,1
18,1
19,1
20,0
21,0.5
22,0.5
23,0.5
24,0.5
25,1
26,0.5
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,0.5
42,0.5
43,0
44,1
45,1
46,1
47,1
48,1
49,1
50,0.5
51,1
52,0.5
53,1
54,1
55,1
56,1
57,0.5
58,0.5
59,0.5
60,1
61,1
62,0.5
63,0.5
64,1
65,1
66,1
67,0.5
68,1
69,1
70,0.5
71,1
72,1
73,1
74,1
75,0.5
76,1
77,0.5
78,0.5
79,0.5
80,1
81,0.5
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,0.5
92,1
93,0.5
94,0.5
95,0.5
96,0.5
97,1
98,1
99,0.5
100,1
101,1
102,1
103,0.5
104,1
105,1
106,1
107,1
108,0.5
109,0.5
110,1
111,1
112,1
113,0.5
114,1
115,1
116,0.5
117,0.5
118,1
119,1
120,0.5
121,0.5
122,1
123,1
124,1
125,1
126,0.5
127,1
128,1
129,1
130,1
131,0.5
132,0.5
133,1
134,1
135,1
136,1
137,1
138,1
139,0.5
140,1
141,0.5
142,1
143,1
144,1
145,0.5
146,1
147,1
148,0.5
149,1
150,0.5
151,1
152,0.5
153,1
154,1
155,1
156,1
157,1
158,0.5
159,1
160,1
161,1
162,0.5
163,0.5
164,1
165,0.5
166,1
167,0.5
168,1
169,1
170,0.5
171,1
172,0.5
173,1
174,0
175,0.5
176,0.5
177,0.5
178,1
179,1
180,0.5
181,1
182,0.5
183,0.5
184,1
185,0.5
186,1
187,0.5
188,0.5
189,1
190,0.5
191,1
192,1
193,0.5
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,0.5
203,1
204,1
205,1
206,0
207,0.5
208,1
209,1
210,1
211,0.5
212,1
213,1
214,0.5
215,1
216,0.5
217,1
218,1
219,1
220,1
221,0.5
222,0.5
223,0.5
224,0.5
225,1
226,1
227,0.5
228,1
229,1
230,1
231,0.5
232,1
233,1
234,0.5
235,1
236,0.5
237,0.5
238,0.5
239,1
240,1
241,0.5
242,0.5
243,1
244,1
245,1
246,1
247,1
248,0.5
249,1
250,0.5
251,1
252,1
253,1
254,0.5
255,1
256,0
257,1
258,0.5
259,1
260,0.5
261,0
262,1
263,1
264,1
265,0.5
266,1
267,1
268,1
269,1
270,0.5
271,1
272,1
273,1
274,1
275,1
276,1
277,0.5
278,1
279,1
280,0.5
281,1
282,1
283,1
284,1
285,1
286,1
287,0.5
288,0.5
289,1
290,1
291,1
292,1
293,1
294,0.5
295,1
296,1
297,0.5
298,1
299,1
300,0.5
301,1
302,0.5
303,0.5
304,1
305,0.5
306,1
307,1
308,0.5
309,0.5
310,1
311,0.5
312,0.5
313,1
314,1
315,0.5
316,1
317,1
318,0.5
319,0.5
320,1
321,1
322,1
323,0.5
324,1
325,0.5
326,1
327,0.5
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,0.5
338,0.5
339,1
340,0.5
341,0.5
342,1
343,1
344,1
345,1
346,1
347,0.5
348,1
349,0
350,1
351,1
352,0.5
353,0.5
354,1
355,1
356,1
357,0.5
358,1
359,0.5
360,0.5
361,0.5
362,0.5
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,0.5
374,1
375,1
376,1
377,1
378,0.5
379,1
380,0.5
381,0.5
382,0.5
383,0.5
384,1
385,1
386,1
387,1
388,0.5
389,1
390,1
391,1
392,1
393,1
394,1
395,0.5
396,1
397,0.5
398,0.5
399,1
400,1
401,1
402,1
403,1
404,1
405,0.5
406,1
407,1
408,1
409,1
410,1
411,0.5
412,1
413,1
414,0.5
415,0.5
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,0
424,0.5
425,0.5
426,1
427,1
428,1
429,1
430,1
431,1
432,0.5
433,1
434,1
435,1
436,1
437,1
438,1
439,0.5
440,0.5
441,0.5
442,1
443,1
444,0.5
445,1
446,1
447,1
448,0.5
449,1
450,1
451,0.5
452,1
453,1
454,1
455,1
456,1
457,0
458,0.5
459,0.5
460,1
461,1
462,1
463,1
464,0.5
465,1
466,0.5
467,1
468,0.5
469,1
470,1
471,1
472,1
473,1
474,0.5
475,0.5
476,0.5
477,1
478,1
479,0.5
480,1
481,0
482,0.5
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,0.5
491,0.5
492,0.5
493,0.5
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,0.5
502,1
503,1
504,1
505,0.5
506,0.5
507,1
508,0.5
509,1
510,1
511,0.5
512,0.5
513,1
514,1
515,1
516,0.5
517,0.5
518,1
519,1
520,0.5
521,1
522,1
523,0.5
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,0.5
532,0.5
533,1
534,0.5
535,1
536,1
537,1
538,1
539,0.5
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,0.5
558,0.5
559,1
560,0.5
561,1
562,1
563,1
564,1
565,0.5
566,0.5
567,1
568,1
569,1
570,1
571,1
572,1
573,0.5
574,1
575,1
576,0.5
577,1
578,1
579,1
580,1
581,0.5
582,1
583,1
584,1
585,1
586,1
587,0.5
588,0
589,0.5
590,0.5
591,1
592,1
593,1
594,0.5
595,0.5
596,0.5
597,0.5
598,0.5
599,1
600,1
601,1
602,0.5
603,1
604,0.5
605,0.5
606,1
607,1
608,1
609,1
610,1
611,1
612,0
613,1
614,0.5
615,1
616,1
617,0.5
618,1
619,1
620,1
621,1
622,0.5
623,1
624,1
625,1
626,0.5
627,0.5
628,0.5
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,0.5
638,1
639,1
640,1
641,0.5
642,0.5
643,1
644,1
645,0.5
646,0.5
647,1
648,1
649,0.5
650,1
651,1
652,1
653,1
654,0.5
655,0.5
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,0
665,1
666,0.5
667,1
668,1
669,1
670,0.5
671,1
672,0.5
673,1
674,1
675,0.5
676,1
677,1
678,1
679,1
680,0.5
681,1
682,1
683,0.5
684,1
685,1
686,0.5
687,0.5
688,0.5
689,1
690,1
691,1
692,0.5
693,0.5
694,0.5
695,1
696,0.5
697,1
698,1
699,1
700,0.5
701,1
702,1
703,0.5
704,0.5
705,1
706,1
707,1
708,1
709,1
710,1
711,0.5
712,1
713,0.5
714,1
715,1
716,0.5
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,0.5
732,0.5
733,1
734,1
735,1
736,1
737,1
738,0.5
739,1
740,0.5
741,1
742,0
743,0.5
744,0.5
745,1
746,0.5
747,1
748,1
749,1
750,1
751,1
752,0.5
753,0.5
754,0.5
755,5
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,0.5
765,1
766,1
767,0.5
768,0.5
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,0
777,0.5
778,1
779,1
780,1
781,0.5
782,1
783,0.5
784,0.5
785,1
786,1
787,1
788,0.5
789,0.5
790,1
791,1
792,1
793,1
794,1
795,0.5
796,1
797,1
798,0.5
799,1
800,0.5
801,1
802,1
803,0.5
804,1
805,1
806,0.5
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,1
815,0.5
816,0.5
817,1
818,1
819,1
820,0.5
821,0.5
822,1
823,0.5
824,0.5
825,0.5
826,1
827,1
828,1
829,0.5
830,0.5
831,1
832,0.5
833,1
834,1
835,1
836,1
837,1
838,1
839,1
840,1
841,1
842,1
843,0.5
844,1
845,1
846,0.5
847,0.5
848,0.5
849,1
850,1
851,1
852,1
853,1
854,0.5
855,1
856,0
857,0.5
858,0.5
859,1
860,1
861,1
862,1
863,0.5
864,1
865,0.5
866,1
867,1
868,1
869,0.5
870,0.5
871,0.5
872,1
873,1
874,1
875,1
876,1
877,1
878,1
879,1
880,1
881,1
882,1
883,1
884,0.5
885,1
886,1
887,1
888,0.5
889,1
890,1
891,1
892,0.5
893,1
894,1
895,0.5
896,1
897,1
898,1
899,1
900,1
901,1
902,1
903,0.5
904,1
905,1
906,0.5
907,0.5
908,0.5
909,1
910,0.5
911,1
912,0.5
913,1
914,1
915,1
916,1
917,1
918,1
919,0
920,1
921,1
922,1
923,1
924,1
925,1
926,1
927,0.5
928,1
929,1
930,0.5
931,1
932,1
933,1
934,0.5
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,0.5
943,1
944,1
945,1
946,1
947,1
948,1
949,1
950,0.5
951,0.5
952,0.5
953,0.5
954,1
955,1
956,0.5
957,0.5
958,0.5
959,0.5
960,0.5
961,1
962,1
963,1
964,0.5
965,0.5
966,1
967,1
968,0.5
969,1
970,0.5
971,1
972,1
973,1
974,0.5
975,1
976,0.5
977,1
978,1
979,1
980,1
981,1
982,1
983,0.5
984,1
985,1
986,1
987,1
988,1
989,1
990,1
991,1
992,1
993,0.5
994,1
995,1
996,1
997,1
998,1
999,1
