,hair_color
0,1
1,0
2,1
3,0.5
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,0.5
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,0.5
27,1
28,1
29,1
30,1
31,1
32,0.5
33,1
34,1
35,0.5
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,0
45,1
46,0.5
47,1
48,1
49,0.5
50,1
51,0
52,1
53,1
54,0.5
55,0.5
56,1
57,1
58,1
59,1
60,1
61,0.5
62,1
63,1
64,0.5
65,1
66,1
67,1
68,1
69,0.5
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,0.5
82,0.5
83,1
84,1
85,0.5
86,1
87,0.5
88,0
89,0.5
90,1
91,1
92,1
93,1
94,1
95,0.5
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,0.5
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,0.5
116,1
117,0.5
118,0.5
119,1
120,1
121,1
122,0.5
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,0.5
131,1
132,0.5
133,0.5
134,0.5
135,1
136,1
137,0.5
138,1
139,0.5
140,1
141,1
142,1
143,1
144,1
145,0.5
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,0.5
157,0.5
158,1
159,0.5
160,0.5
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,0
177,1
178,1
179,1
180,0.5
181,0.5
182,0.5
183,1
184,1
185,1
186,1
187,0
188,1
189,1
190,1
191,1
192,1
193,0.5
194,1
195,0.5
196,0.5
197,1
198,0.5
199,1
200,0.5
201,1
202,1
203,1
204,0.5
205,1
206,0.5
207,1
208,0.5
209,1
210,1
211,0.5
212,1
213,1
214,0.5
215,0.5
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,0.5
225,1
226,0.5
227,1
228,0.5
229,1
230,0.5
231,0.5
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,0
242,1
243,0.5
244,1
245,1
246,1
247,1
248,1
249,0
250,1
251,0.5
252,1
253,1
254,1
255,1
256,1
257,0.5
258,1
259,1
260,1
261,1
262,0.5
263,1
264,0
265,1
266,1
267,0
268,1
269,1
270,1
271,1
272,0.5
273,0.5
274,0.5
275,0.5
276,1
277,1
278,1
279,1
280,1
281,0.5
282,1
283,1
284,1
285,1
286,1
287,1
288,0.5
289,0.5
290,0.5
291,0.5
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,0.5
301,1
302,1
303,0
304,1
305,1
306,1
307,1
308,1
309,1
310,0.5
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,0.5
320,0.5
321,0.5
322,0.5
323,1
324,1
325,0.5
326,0.5
327,1
328,0.5
329,1
330,1
331,0.5
332,0.5
333,0.5
334,0.5
335,0.5
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,0.5
344,1
345,0.5
346,0.5
347,1
348,1
349,1
350,1
351,0.5
352,1
353,1
354,1
355,0.5
356,0.5
357,0.5
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,0.5
371,0.5
372,0.5
373,1
374,1
375,1
376,1
377,0.5
378,1
379,1
380,0.5
381,0.5
382,0.5
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,0.5
394,1
395,1
396,0.5
397,1
398,1
399,1
400,1
401,0.5
402,1
403,0.5
404,0
405,1
406,0.5
407,1
408,0.5
409,1
410,1
411,0.5
412,1
413,1
414,0.5
415,0.5
416,1
417,1
418,0.5
419,1
420,1
421,1
422,0.5
423,1
424,1
425,1
426,0.5
427,0.5
428,1
429,1
430,1
431,1
432,0.5
433,1
434,1
435,1
436,0.5
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,0.5
447,1
448,1
449,0.5
450,1
451,1
452,1
453,1
454,1
455,1
456,0.5
457,1
458,0.5
459,1
460,1
461,1
462,1
463,0.5
464,1
465,0.5
466,1
467,1
468,1
469,0.5
470,1
471,1
472,0.5
473,1
474,1
475,0.5
476,1
477,1
478,1
479,1
480,1
481,1
482,0.5
483,0.5
484,0.5
485,1
486,1
487,0.5
488,1
489,1
490,1
491,0.5
492,0.5
493,1
494,0.5
495,1
496,1
497,1
498,0.5
499,1
500,1
501,1
502,1
503,0.5
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,0.5
513,1
514,1
515,1
516,1
517,1
518,0.5
519,0.5
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,0.5
528,1
529,1
530,1
531,0.5
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,0.5
545,1
546,1
547,0.5
548,1
549,1
550,0.5
551,1
552,1
553,0.5
554,0.5
555,1
556,1
557,0.5
558,0.5
559,1
560,1
561,1
562,0.5
563,1
564,1
565,1
566,1
567,0.5
568,1
569,1
570,1
571,1
572,0.5
573,1
574,1
575,1
576,1
577,0.5
578,0
579,0.5
580,1
581,1
582,1
583,1
584,1
585,1
586,0.5
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,0.5
606,1
607,0.5
608,1
609,0.5
610,0.5
611,1
612,1
613,1
614,1
615,0.5
616,0
617,1
618,0.5
619,1
620,1
621,1
622,0.5
623,1
624,0.5
625,1
626,0
627,1
628,1
629,0.5
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,0.5
640,1
641,1
642,0.5
643,1
644,1
645,1
646,1
647,0.5
648,1
649,1
650,1
651,0.5
652,1
653,1
654,1
655,1
656,1
657,0.5
658,0
659,1
660,1
661,0.5
662,0.5
663,1
664,1
665,1
666,1
667,0.5
668,1
669,0.5
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,0.5
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,0.5
690,1
691,0.5
692,1
693,1
694,1
695,1
696,1
697,0.5
698,1
699,1
700,1
701,1
702,1
703,0.5
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,0.5
723,0.5
724,1
725,1
726,0.5
727,1
728,1
729,0.5
730,0.5
731,1
732,0.5
733,0.5
734,1
735,1
736,0.5
737,0.5
738,1
739,1
740,1
741,1
742,0
743,1
744,0.5
745,0.5
746,0.5
747,1
748,1
749,1
750,0.5
751,1
752,0.5
753,0.5
754,1
755,0.5
756,1
757,1
758,1
759,1
760,0.5
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,0.5
776,1
777,1
778,1
779,1
780,1
781,1
782,0.5
783,1
784,1
785,1
786,1
787,1
788,0.5
789,1
790,0.5
791,1
792,1
793,0.5
794,1
795,1
796,0.5
797,1
798,1
799,1
800,1
801,1
802,1
803,0.5
804,0.5
805,0.5
806,0.5
807,1
808,1
809,1
810,0.5
811,1
812,0.5
813,1
814,1
815,1
816,1
817,1
818,0.5
819,1
820,0.5
821,1
822,1
823,1
824,1
825,1
826,1
827,1
828,1
829,1
830,1
831,1
832,1
833,0.5
834,0.5
835,0.5
836,0.5
837,1
838,1
839,1
840,1
841,1
842,1
843,1
844,0.5
845,1
846,0.5
847,0.5
848,0.5
849,0.5
850,0.5
851,1
852,0.5
853,1
854,0.5
855,1
856,1
857,1
858,1
859,1
860,1
861,1
862,1
863,1
864,1
865,1
866,1
867,0.5
868,1
869,1
870,1
871,0.5
872,1
873,1
874,1
875,1
876,1
877,1
878,0.5
879,0.5
880,1
881,1
882,0.5
883,0.5
884,1
885,1
886,1
887,1
888,1
889,1
890,1
891,1
892,1
893,0.5
894,1
895,1
896,1
897,1
898,1
899,1
900,1
901,1
902,1
903,1
904,0.5
905,0.5
906,0.5
907,1
908,0.5
909,1
910,1
911,1
912,0.5
913,1
914,0.5
915,1
916,0.5
917,1
918,1
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,0.5
927,1
928,1
929,0.5
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,1
943,1
944,1
945,0.5
946,1
947,0.5
948,1
949,1
950,1
951,1
952,1
953,1
954,1
955,0.5
956,1
957,0.5
958,1
959,1
960,0.5
961,1
962,1
963,1
964,1
965,1
966,0.5
967,1
968,0.5
969,1
970,1
971,1
972,1
973,1
974,1
975,1
976,1
977,1
978,1
979,1
980,1
981,0.5
982,1
983,1
984,0.5
985,1
986,0.5
987,1
988,1
989,1
990,1
991,1
992,0.5
993,0.5
994,1
995,0.5
996,1
997,1
998,1
999,0.5
