,mouth
0,0
1,0
2,0.5
3,0
4,1
5,1
6,0
7,1
8,1
9,0
10,1
11,0.5
12,0
13,0
14,1
15,0
16,0.5
17,0
18,1
19,1
20,1
21,1
22,0.5
23,1
24,1
25,0
26,1
27,0
28,1
29,0
30,0
31,0.5
32,1
33,0
34,1
35,0
36,1
37,1
38,0
39,0.5
40,1
41,0
42,0
43,1
44,1
45,1
46,0
47,0
48,1
49,0.5
50,1
51,1
52,1
53,1
54,0
55,0
56,1
57,1
58,1
59,1
60,1
61,1
62,0.5
63,0.5
64,1
65,1
66,0
67,0
68,1
69,1
70,1
71,1
72,1
73,1
74,0.5
75,1
76,1
77,0.5
78,0
79,0
80,1
81,1
82,1
83,0.5
84,0
85,0
86,1
87,1
88,0
89,1
90,0
91,1
92,0.5
93,1
94,0
95,1
96,1
97,0
98,1
99,0
100,0
101,1
102,1
103,1
104,0
105,1
106,1
107,0
108,1
109,1
110,1
111,0
112,1
113,1
114,1
115,1
116,0.5
117,0
118,1
119,1
120,1
121,1
122,1
123,1
124,0
125,0.5
126,0.5
127,1
128,1
129,0.5
130,0
131,0
132,0.5
133,0
134,1
135,1
136,1
137,0
138,0.5
139,1
140,0
141,0.5
142,1
143,1
144,0
145,1
146,1
147,1
148,0
149,1
150,1
151,1
152,0.5
153,1
154,0
155,1
156,1
157,0
158,0
159,1
160,1
161,0
162,1
163,0
164,0
165,1
166,1
167,1
168,0
169,1
170,0
171,1
172,0
173,1
174,0
175,1
176,1
177,0.5
178,1
179,0.5
180,1
181,1
182,1
183,0
184,1
185,0.5
186,0
187,0
188,0.5
189,0.5
190,1
191,1
192,1
193,0.5
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,0
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,0.5
211,1
212,0
213,1
214,1
215,0
216,1
217,1
218,0
219,0.5
220,0
221,0
222,0
223,0.5
224,1
225,1
226,0
227,1
228,1
229,0.5
230,1
231,1
232,0
233,1
234,1
235,0
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,0
245,0.5
246,1
247,1
248,0
249,1
250,1
251,0.5
252,1
253,0.5
254,1
255,0
256,1
257,0
258,0
259,0.5
260,1
261,1
262,1
263,0
264,1
265,0.5
266,1
267,1
268,0
269,1
270,1
271,1
272,1
273,1
274,1
275,0
276,0
277,0
278,1
279,0
280,0
281,0
282,0.5
283,0.5
284,1
285,1
286,0.5
287,0.5
288,1
289,0
290,0
291,0.5
292,1
293,1
294,1
295,1
296,1
297,1
298,0
299,0.5
300,0
301,1
302,0
303,1
304,0
305,0
306,0
307,0
308,1
309,0
310,0
311,1
312,0
313,0
314,1
315,1
316,0
317,1
318,0
319,1
320,1
321,0
322,1
323,0.5
324,0
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,0
336,0
337,1
338,1
339,1
340,1
341,0.5
342,0
343,1
344,1
345,0
346,0
347,0.5
348,1
349,0.5
350,1
351,1
352,0
353,1
354,0
355,0.5
356,0
357,1
358,0
359,1
360,0
361,1
362,0
363,0.5
364,1
365,1
366,0.5
367,1
368,0
369,0
370,1
371,1
372,1
373,0.5
374,0
375,0
376,0.5
377,1
378,1
379,0
380,1
381,1
382,1
383,1
384,0.5
385,1
386,1
387,0.5
388,1
389,0.5
390,1
391,0
392,0.5
393,1
394,0
395,1
396,0
397,1
398,1
399,1
400,0
401,1
402,1
403,1
404,0.5
405,1
406,1
407,1
408,0
409,1
410,1
411,0
412,0
413,1
414,1
415,0
416,1
417,0
418,1
419,0
420,1
421,1
422,0
423,0
424,1
425,0
426,0.5
427,1
428,1
429,1
430,0
431,1
432,0
433,1
434,1
435,0.5
436,1
437,1
438,1
439,0
440,0.5
441,0
442,1
443,0
444,0.5
445,1
446,1
447,0
448,0
449,1
450,1
451,1
452,1
453,0.5
454,1
455,0.5
456,0
457,0
458,1
459,1
460,1
461,1
462,1
463,0
464,1
465,0.5
466,1
467,0
468,0.5
469,1
470,1
471,0
472,1
473,1
474,0.5
475,0.5
476,1
477,1
478,1
479,1
480,0
481,1
482,0.5
483,1
484,0.5
485,1
486,0
487,1
488,1
489,1
490,1
491,0.5
492,0
493,0.5
494,0
495,1
496,0
497,0
